,Date,Région,Consommation (MW),Shortage,Person Blackout,Person Blackout Percentage,warm month
54,2013-01-05,Normandie,176831.0,147.0,2766.1389631908432,0.0008313022037991076,0.0
55,2013-01-05,Nouvelle-Aquitaine,276628.0,224.0,4842.135546654713,0.0008097517243373772,0.0
56,2013-01-05,Occitanie,236933.0,174.0,4322.218956413838,0.000734384826090076,0.0
57,2013-01-05,Pays de la Loire,164331.0,113.0,2600.244622134594,0.000687636538449836,0.0
58,2013-01-05,Provence-Alpes-Côte d'Azur,267848.0,102.0,1924.184104417431,0.00038081299841701265,0.0
59,2013-01-05,Île-de-France,433732.0,72.0,2027.445943578062,0.00016600112511873692,0.0
60,2013-01-06,Auvergne-Rhône-Alpes,383078.0,174.0,3631.207915881361,0.0004542155905585807,0.0
61,2013-01-06,Bourgogne-Franche-Comté,118531.0,154.0,3648.0100395677077,0.0012992381739798027,0.0
62,2013-01-06,Bretagne,134135.0,95.0,2362.279270883811,0.000708241696798002,0.0
63,2013-01-06,Centre-Val de Loire,111768.0,52.0,1197.0184310357167,0.0004652494452795075,0.0
64,2013-01-06,Grand Est,244170.0,174.0,3955.3085391325717,0.000712618257771225,0.0
65,2013-01-06,Hauts-de-France,283178.0,172.0,3646.8460685505233,0.0006073918171609378,0.0
66,2013-01-06,Normandie,176259.0,139.0,2624.0889997106533,0.0007886122127097057,0.0
67,2013-01-06,Nouvelle-Aquitaine,275549.0,234.0,5078.109708255156,0.0008492137514561838,0.0
68,2013-01-06,Occitanie,231431.0,181.0,4602.990852565127,0.000782090558308956,0.0
69,2013-01-06,Pays de la Loire,163122.0,98.0,2271.7932222508307,0.0006007773323034294,0.0
70,2013-01-06,Provence-Alpes-Côte d'Azur,257432.0,104.0,2041.2945088411698,0.0004039901799310109,0.0
71,2013-01-06,Île-de-France,430898.0,69.0,1955.747863763582,0.0001601307037860468,0.0
72,2013-01-07,Auvergne-Rhône-Alpes,446902.0,176.0,3148.3967044228934,0.00039382235926444724,0.0
73,2013-01-07,Bourgogne-Franche-Comté,144632.0,175.0,3397.354838486642,0.001209967365451629,0.0
74,2013-01-07,Bretagne,163112.0,88.0,1799.4778557065083,0.0005395065966942959,0.0
75,2013-01-07,Centre-Val de Loire,132686.0,77.0,1493.0714694843466,0.0005803174411769139,0.0
76,2013-01-07,Grand Est,290058.0,192.0,3674.005502347806,0.0006619365782016011,0.0
77,2013-01-07,Hauts-de-France,327038.0,185.0,3396.424819134168,0.0005656834985536849,0.0
78,2013-01-07,Normandie,204619.0,161.0,2618.1527473010815,0.0007868282026595771,0.0
79,2013-01-07,Nouvelle-Aquitaine,318298.0,210.0,3945.21291368466,0.0006597590936795078,0.0
80,2013-01-07,Occitanie,262709.0,174.0,3898.1394013908925,0.0006623298021765527,0.0
81,2013-01-07,Pays de la Loire,200869.0,109.0,2051.959769800218,0.000542642219556029,0.0
82,2013-01-07,Provence-Alpes-Côte d'Azur,270102.0,105.0,1964.2481729124552,0.0003887420307883688,0.0
83,2013-01-07,Île-de-France,496093.0,74.0,1821.825903610815,0.0001491655798408766,0.0
84,2013-01-08,Auvergne-Rhône-Alpes,467581.0,165.0,2821.0849777899443,0.00035288003575851027,0.0
85,2013-01-08,Bourgogne-Franche-Comté,155303.0,136.0,2458.817614598559,0.0008757074879429244,0.0
86,2013-01-08,Bretagne,164850.0,90.0,1820.9721565059144,0.000545950864422202,0.0
87,2013-01-08,Centre-Val de Loire,141547.0,62.0,1126.9534924795298,0.000438017054405957,0.0
88,2013-01-08,Grand Est,317727.0,168.0,2934.800479657064,0.0005287558186745225,0.0
89,2013-01-08,Hauts-de-France,347583.0,156.0,2694.725714433675,0.0004488136646498822,0.0
90,2013-01-08,Normandie,207185.0,151.0,2425.1226054009703,0.0007288172406303546,0.0
91,2013-01-08,Nouvelle-Aquitaine,331171.0,208.0,3755.7449897484985,0.0006280743181015246,0.0
92,2013-01-08,Occitanie,283626.0,190.0,3942.67182839373,0.0006698962718509586,0.0
93,2013-01-08,Pays de la Loire,208498.0,105.0,1904.3320079808918,0.0005036019530163359,0.0
94,2013-01-08,Provence-Alpes-Côte d'Azur,280984.0,104.0,1870.193776158073,0.000370127836460439,0.0
