,year,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW)
53,2017,44,92878715.0,24401968.0,153669104.0,11134701.0,1012023.0,16001178.0,-1843160.0,1664653.0,-113159605.0
54,2017,52,54809577.0,13501316.0,0.0,2698987.0,960807.0,20770.0,0.0,766681.0,36860431.0
55,2017,53,44578825.0,1523096.0,0.0,3091197.0,413738.0,1158793.0,-115636.0,721253.0,37788274.0
56,2017,75,88125924.0,2301301.0,90265711.0,2462390.0,4944152.0,5698483.0,0.0,3211557.0,-20759593.0
57,2017,76,76593898.0,534457.0,35518538.0,6255805.0,4152764.0,18808535.0,-4454363.0,1516440.0,14261466.0
58,2017,84,135393636.0,4905701.0,159892036.0,2016423.0,1776231.0,46647866.0,-7697286.0,1877185.0,-74024525.0
59,2017,93,82461079.0,19177848.0,0.0,234711.0,3056283.0,15869433.0,-129423.0,2274703.0,41978727.0
60,2018,11,141593960.0,3493773.0,0.0,242618.0,174877.0,81144.0,0.0,2546233.0,135054817.0
61,2018,24,37557332.0,753416.0,149005835.0,4086038.0,609541.0,282830.0,0.0,1041626.0,-118225653.0
62,2018,27,42829648.0,1550673.0,0.0,2621839.0,584017.0,1644127.0,-56007.0,547755.0,35938734.0
63,2018,28,56079329.0,7043977.0,120716766.0,3035922.0,299831.0,257295.0,0.0,876261.0,-76150967.0
64,2018,32,101815048.0,17575222.0,69088885.0,14386492.0,289331.0,24015.0,0.0,2086641.0,-1637269.0
65,2018,44,91868917.0,17438565.0,161054573.0,12677878.0,1928965.0,14642021.0,-1577307.0,1692884.0,-115985655.0
66,2018,52,54793090.0,9095181.0,0.0,3263357.0,1092618.0,37125.0,0.0,769674.0,40533772.0
67,2018,53,45053105.0,1686340.0,0.0,3607709.0,451056.0,1149336.0,-111364.0,755046.0,37513734.0
68,2018,75,87595610.0,1848253.0,91502597.0,3473004.0,5979340.0,7793900.0,0.0,3073899.0,-26077773.0
69,2018,76,76903481.0,599003.0,34270619.0,6504092.0,4433608.0,27848834.0,-4628252.0,1444209.0,6430200.0
70,2018,84,134068058.0,3217912.0,160327753.0,2163064.0,2072558.0,59533556.0,-8382942.0,2124733.0,-86987948.0
71,2018,93,80884421.0,11683949.0,0.0,199555.0,3250351.0,21520918.0,-41573.0,2133200.0,42139739.0
72,2019,11,139215296.0,3381873.0,0.0,370113.0,209532.0,123771.0,0.0,2388853.0,132740942.0
73,2019,24,37753097.0,827861.0,143203754.0,5174662.0,698437.0,168830.0,0.0,1034374.0,-113356640.0
74,2019,27,42566463.0,1564740.0,0.0,3538868.0,739973.0,1786214.0,-89365.0,572209.0,34455224.0
75,2019,28,55379310.0,6266094.0,98450304.0,3549743.0,360172.0,233779.0,0.0,881865.0,-54362745.0
76,2019,32,99638145.0,19874132.0,64155019.0,17895592.0,332362.0,25084.0,0.0,2142010.0,-4786741.0
77,2019,44,91105329.0,19270499.0,152644965.0,15335733.0,1996674.0,17167878.0,-1510780.0,2012730.0,-115812591.0
78,2019,52,54366732.0,6877240.0,0.0,3944802.0,1232688.0,37955.0,0.0,875126.0,41398571.0
79,2019,53,45259016.0,1828531.0,0.0,3878316.0,501988.0,1183953.0,-131394.0,808691.0,37187511.0
80,2019,75,86711494.0,1946059.0,94584601.0,3847167.0,6622230.0,6446637.0,0.0,3160554.0,-29896434.0
81,2019,76,76172426.0,615062.0,33854497.0,7504122.0,5162218.0,19849673.0,-3315595.0,1536487.0,10964360.0
82,2019,84,130976066.0,4419680.0,171566386.0,2385405.0,2504928.0,54546539.0,-7728943.0,2120884.0,-98838975.0
83,2019,93,81810978.0,15281126.0,0.0,207399.0,3843168.0,17431983.0,-88431.0,1787532.0,43349931.0
84,2020,11,129969368.0,3488226.0,0.0,526458.0,268359.0,84855.0,0.0,2282860.0,123318663.0
85,2020,24,36308702.0,823081.0,131453935.0,6128116.0,842199.0,252344.0,0.0,1037239.0,-104228124.0
86,2020,27,40162801.0,1515123.0,0.0,3871950.0,806356.0,1446841.0,-118422.0,717324.0,31924373.0
87,2020,28,52695397.0,5889842.0,83993279.0,4074559.0,410361.0,212297.0,0.0,993876.0,-42878905.0
88,2020,32,94591729.0,19015791.0,65206377.0,23127833.0,361381.0,22232.0,0.0,2068188.0,-15211252.0
89,2020,44,84795899.0,13466822.0,126657106.0,17281035.0,1427234.0,15414848.0,-1174336.0,2004520.0,-90282240.0
90,2020,52,52041945.0,6089449.0,0.0,4712237.0,1387419.0,40743.0,0.0,910764.0,38901251.0
91,2020,53,43791308.0,1852430.0,0.0,4459805.0,538294.0,1234373.0,-145710.0,845678.0,35007482.0
92,2020,75,83201039.0,1739547.0,76406586.0,4768560.0,6969670.0,7183911.0,0.0,3019822.0,-16888492.0
93,2020,76,72736498.0,602022.0,32385387.0,7136512.0,5468124.0,22614271.0,-3264325.0,1340223.0,6452974.0
